日付,場,R,馬場種,距離,馬番,馬名,印,条件指数,条件順,ノイズ耐性,条件走数,ピーク何走前,実力指数,実力順,市場人気,市場ソース,人気薄好走,スコア,残差SD,判別可否,着順
2026-08-01,中京,3,芝,2000,3,スーパービジー,◎,1.0126838597628947,1,0.547,6,6,-0.9134174781981613,12,11.0,当日人気,0,1.67,1.15,ノイズ域,
2026-08-01,中京,5,ダ,1800,5,サラサダンディー,◎,-0.34853880433780804,3,0.625,7,6,-1.6503077436609117,6,13.0,当日人気,1,0.93,1.15,判別可,
2026-08-01,中京,7,芝,1600,10,エポックヴィーナス,◎,1.2247785413529442,2,0.595,8,7,-0.5642164178280027,7,6.0,当日人気,1,2.08,1.15,ノイズ域,
2026-08-01,中京,8,ダ,1800,1,メイショウクーガー,◎,2.148032902948896,2,0.828,7,4,-0.929842444604742,5,7.0,当日人気,1,3.07,1.15,ノイズ域,
2026-08-01,中京,8,ダ,1800,11,レッドボブ,○,1.703609743284322,3,0.677,8,6,-0.5404216106962791,4,6.0,当日人気,0,2.06,1.15,ノイズ域,
2026-08-01,中京,9,芝,3000,9,(地)サトノドルチェ,◎,0.08935149966768563,4,0.718,7,3,-1.0700458134537727,7,9.0,当日人気,0,0.63,1.15,判別可,
2026-08-01,中京,10,ダ,1200,16,ジョードリウム,◎,1.4422992447922085,1,0.902,8,7,-0.9467493375944329,6,16.0,当日人気,1,2.9,1.15,ノイズ域,
2026-08-01,中京,10,ダ,1200,8,タイセイブロウ,○,0.643843111566666,2,0.645,8,4,-1.115705128076685,11,9.0,当日人気,2,2.18,1.15,ノイズ域,
2026-08-01,中京,11,芝,2000,8,マーゴットレジーナ,◎,0.6956340793323804,3,0.735,6,6,-1.3346963668902845,8,8.0,当日人気,2,2.18,1.15,ノイズ域,
2026-08-01,中京,11,芝,2000,6,シェーラ,○,1.089303345032792,1,0.825,8,8,-1.1937009639005567,6,6.0,当日人気,0,1.45,1.15,ノイズ域,
2026-08-01,中京,12,芝,1600,7,(外)パーシャングレー,◎,1.4135636663481832,3,0.77,8,7,-0.05803133873778993,5,6.0,当日人気,0,1.77,1.15,ノイズ域,
2026-08-01,新潟,4,ダ,1800,8,ドナソラーレ,◎,-0.8914002921940452,4,0.575,5,6,-1.2429460092689624,4,12.0,当日人気,1,0.33,1.15,判別可,
2026-08-01,新潟,4,ダ,1800,11,アジュアカレンツ,○,-0.08166244067323014,3,0.863,7,7,-1.5321479334333106,7,6.0,当日人気,0,0.28,1.15,判別可,
2026-08-01,新潟,5,ダ,1200,3,エリースノー,◎,0.021783485384014534,2,0.75,4,6,-0.9319558192559129,4,6.0,当日人気,1,0.88,1.15,ノイズ域,
2026-08-01,新潟,5,ダ,1200,5,ジーティーニッツァ,○,-0.2969015159281028,3,0.537,6,6,-1.768815902275881,10,10.0,当日人気,0,0.3,1.15,ノイズ域,
2026-08-01,新潟,7,ダ,1800,5,アデランテ,◎,1.9107084997529213,1,0.795,5,8,-0.5552379801151005,5,7.0,当日人気,0,2.33,1.15,ノイズ域,
2026-08-01,新潟,10,ダ,1800,1,タマモブレイキン,◎,-0.43632363916925243,3,0.685,6,5,-1.6301334034676827,5,6.0,当日人気,0,-0.08,1.15,判別可,
2026-08-01,新潟,12,芝,1200,5,クリノゴッホ,◎,0.5495934064393737,4,0.505,7,4,-1.0197934348524655,7,14.0,当日人気,2,2.39,1.15,ノイズ域,
2026-08-01,新潟,12,芝,1200,16,ゴールドパレード,○,0.6261258934998977,2,0.59,7,4,-0.5955651562914099,5,6.0,当日人気,0,0.99,1.15,ノイズ域,
2026-08-01,札幌,6,ダ,1000,9,アスコットアイ,◎,0.2719900191518121,3,0.83,8,2,-0.7311258796956053,4,6.0,当日人気,0,0.63,1.15,ノイズ域,
